iter	Passed	Remaining
0	5	517
1	10	524
2	15	503
3	20	490
4	25	476
5	29	458
6	33	447
7	38	437
8	42	430
9	46	419
10	50	411
11	55	404
12	59	398
13	64	394
14	68	388
15	73	386
16	78	381
17	82	375
18	84	358
19	88	353
20	92	347
21	96	341
22	100	335
23	104	329
24	108	324
25	112	319
26	116	315
27	121	312
28	125	307
29	129	302
30	133	297
31	137	292
32	141	287
33	145	283
34	149	278
35	153	273
36	157	268
37	161	263
38	165	259
39	169	254
40	173	249
41	177	245
42	181	240
43	185	235
44	189	231
45	193	226
46	196	222
47	200	217
48	204	213
49	206	206
50	209	201
51	213	197
52	217	192
53	221	188
54	225	184
55	229	180
56	233	175
57	236	171
58	240	167
59	241	160
60	245	156
61	248	152
62	252	148
63	256	144
64	260	140
65	264	136
66	267	131
67	271	127
68	275	123
69	279	119
70	282	115
71	283	110
72	287	106
73	290	102
74	294	98
75	298	94
76	302	90
77	305	86
78	309	82
79	313	78
80	317	74
81	320	70
82	324	66
83	328	62
84	332	58
85	335	54
86	339	50
87	343	46
88	347	42
89	350	38
90	354	35
91	358	31
92	362	27
93	365	23
94	369	19
95	373	15
96	377	11
97	380	7
98	384	3
99	388	0
